iter	Passed	Remaining
611	15673	9936
612	15698	9910
613	15726	9886
614	15753	9861
615	15778	9836
616	15806	9811
617	15833	9786
618	15864	9764
619	15890	9739
620	15912	9711
621	15937	9685
622	15964	9660
623	15989	9634
624	16013	9607
625	16044	9585
626	16075	9563
627	16098	9536
628	16128	9512
629	16154	9487
630	16180	9462
631	16206	9436
632	16232	9411
633	16259	9386
634	16283	9359
635	16307	9333
636	16330	9306
637	16355	9279
638	16381	9254
639	16410	9230
640	16434	9204
641	16461	9179
642	16485	9152
643	16507	9125
644	16530	9098
645	16556	9072
646	16580	9046
647	16603	9019
648	16630	8994
649	16655	8968
650	16680	8942
651	16705	8916
652	16727	8888
653	16750	8861
654	16776	8836
655	16799	8809
656	16821	8781
657	16849	8757
658	16874	8731
659	16897	8704
660	16921	8678
661	16944	8651
662	16969	8625
663	16996	8600
664	17021	8574
665	17044	8547
666	17072	8523
667	17099	8498
668	17126	8473
669	17151	8447
670	17177	8422
671	17207	8398
672	17234	8374
673	17259	8348
674	17288	8323
675	17310	8296
676	17338	8272
677	17361	8245
678	17386	8219
679	17413	8194
680	17443	8170
681	17471	8146
682	17500	8122
683	17528	8097
684	17555	8072
685	17582	8048
686	17607	8022
687	17632	7996
688	17660	7971
689	17686	7945
690	17709	7919
691	17737	7894
692	17762	7868
693	17786	7842
694	17808	7815
695	17832	7788
696	17856	7762
697	17880	7736
698	17909	7712
699	17936	7687
700	17961	7660
701	17982	7633
702	18005	7607
703	18032	7581
704	18056	7555
705	18078	7528
706	18102	7502
707	18129	7477
708	18159	7453
709	18182	7426
710	18205	7399
711	18231	7374
712	18253	7347
713	18280	7322
714	18303	7295
715	18330	7270
716	18354	7244
717	18384	7220
718	18424	7200
719	18448	7174
720	18471	7147
721	18500	7123
722	18527	7098
723	18554	7073
724	18581	7048
725	18608	7023
726	18634	6997
727	18663	6973
728	18695	6949
729	18719	6923
730	18742	6897
731	18768	6871
732	18796	6846
733	18818	6819
734	18848	6795
735	18875	6770
736	18902	6745
737	18927	6719
738	18951	6693
739	18977	6667
740	19001	6641
741	19027	6615
742	19049	6589
743	19074	6563
744	19096	6536
745	19123	6511
746	19147	6485
747	19171	6458
748	19195	6432
749	19222	6407
750	19247	6381
751	19272	6355
752	19294	6329
753	19319	6303
754	19344	6277
755	19367	6250
756	19390	6224
757	19413	6198
758	19440	6172
759	19463	6146
760	19488	6120
761	19515	6095
762	19542	6070
763	19569	6044
764	19593	6019
765	19621	5993
766	19645	5967
767	19671	5942
768	19693	5915
769	19722	5891
770	19750	5866
771	19773	5839
772	19796	5813
773	19823	5788
774	19851	5763
775	19879	5738
776	19904	5712
777	19933	5687
778	19960	5662
779	19986	5637
780	20014	5612
781	20039	5586
782	20070	5562
783	20097	5537
784	20123	5511
785	20149	5486
786	20175	5460
787	20202	5435
788	20226	5409
789	20250	5383
790	20274	5357
791	20299	5331
792	20323	5305
793	20349	5279
794	20372	5253
795	20399	5227
796	20423	5201
797	20448	5176
798	20472	5150
799	20497	5124
800	20519	5097
801	20545	5072
802	20570	5046
803	20595	5020
804	20620	4995
805	20646	4969
806	20668	4942
807	20692	4917
808	20718	4891
809	20744	4865
810	20766	4839
811	20791	4813
812	20814	4787
813	20837	4761
814	20861	4735
